nombre,nivel,tipo,escuela,clases,tiempo_de_lanzamiento,alcance,componentes,duracion,descripcion,stage,revision
Aura Sagrada,8,Nivel 8,Abjuración,clérigo,Acción,Lanzador,"V, S, M (un relicario que valga al menos","Concentración, hasta 1 minuto","1000 po)

Hasta que termine el conjuro, emites un aura en una

emanación de 9 m. Mientras permanezcan dentro, las

criaturas de tu elección tienen ventaja en todas las tiradas

de salvación y otras criaturas tienen desventaja en las

tiradas de ataque contra ellas. Además, cuando un infernal

o un muerto viviente acierte a una criatura afectada con

una tirada de ataque cuerpo a cuerpo, el atacante deberá

superar una tirada de salvación de Constitución o tendrá

el estado de cegado hasta el final de su siguiente turno.",pendiente,
Auxilio,2,Nivel 2,Abjuración,bardo; clérigo; druida; explorador; paladín,Acción,9 m,"V, S, M (una tira de tela blanca)",8 horas,"Elige hasta tres criaturas dentro del alcance. Los puntos

de golpe máximos y actuales de cada objetivo aumentan

en 5 hasta que termine el conjuro.

Con un espacio de conjuro de nivel superior. Los puntos

de golpe de cada objetivo aumentan en 5 adicionales por

cada nivel por encima de 2 que tenga el espacio.",pendiente,
Baile Irresistible de Otto,6,Nivel 6,Encantamiento,bardo; mago,Acción,9 m,V,"Concentración, hasta 1 minuto","Una criatura que puedas ver dentro del alcance debe

hacer una tirada de salvación de Sabiduría. Si la supera,

el objetivo bailará de forma cómica hasta el final de su

siguiente turno y utilizará todo su movimiento para bailar

en el sitio.

Si la falla, tendrá el estado de hechizado hasta que

el conjuro. Mientras esté hechizado, el objetivo baila

forma cómica, empleará todo su movimiento para bailar

en el sitio y tendrá desventaja en las tiradas de ataq

salvación de Destreza, y otras criaturas tendrán venta

las tiradas de ataque contra él. En cada uno de sus tu

el objetivo puede usar una acción para recuperar el co

y repetir la tirada de salvación. Si la supera, el con

termina.",pendiente,
Barrera de Cuchillas,6,Nivel 6,Evocación,clérigo,1 minuto o un ritual,9 m,"V, S, M (polvo de jade que valga al menos","Concentración, hasta 1 minuto Creas un muro de cuchillas giratorias hechas de energí mágica, que aparecerá dentro del alcance y durará hast que termine el conjuro. Creas un muro recto de hasta 30 m de longitud, 6 m de altura y 1,5 m de grosor o un muro circular de hasta 18 m de diámetro, 6 m de altura y 1,5 m de grosor. El muro proporciona cobertura tres cuartos y su espacio es terreno difícil. Cualquier criatura situada en el espacio del muro de hacer una tirada de salvación de Destreza; sufrirá 6d1 daño de fuerza si la falla o la mitad del daño si la s","Una criatura también deberá hacer la tirada si entra e

espacio del muro o termina su turno en él. Cada criatu

solo hace esta tirada una vez por turno.

RESOLUTIVO DEL CONJURO BOLA DE FUEGO.

termine

rá de      BENDICIÓN

Encantamiento de nivel 1 (clérigo, paladín)

ue y de

ja en      Tiempo de lanzamiento: Acción

rnos,      Alcance: 9 m

ntrol      Componentes: V, S, M (un símbolo sagrado que valga

juro         al menos 5 po)

Bendices hasta tres criaturas dentro del alcance. Siempre

que un objetivo haga una tirada de ataque o de salvación

antes de que termine el conjuro, sumará 1d4 al resultado

de dicha tirada.

Con un espacio de conjuro de nivel superior. Puedes hacer

objetivo a una criatura adicional por cada nivel por encima

de 1 que tenga el espacio.

a          BOCA MÁGICA

a

Ilusionismo de nivel 2 (bardo, mago)

10 po, que se consume como parte del conjuro)

berá       Duración: Hasta que sea disipado

0 de

upera.

n el

ra

Implantas un mensaje en un objeto dentro del alcance que

se pronunciará en voz alta cuando se cumpla la condición

de activación. Elige un objeto que puedas ver y que no

lleve ni vista nadie. Luego, di el mensaje, que debe tener

25 palabras o menos, aunque puede transmitirse en un

intervalo de hasta 10 minutos. Por último, determina la

circunstancia que activará el conjuro para que transmita

tu mensaje.

Cuando se produzca esa circunstancia, en el objeto

aparecerá una boca mágica que recitará el mensaje con tu

voz y al mismo volumen en el que lo dijiste tú. Si el objeto

elegido tiene boca o algo que se le parezca (por ejemplo,

la boca de una estatua), la boca mágica se formará allí,

de modo que las palabras parecerán salir de ella. Cuando

lanzas este conjuro, puedes hacer que el efecto termine

después de que transmita el mensaje o que permanezca

y repita dicho mensaje siempre que se produzca la

condición de activación.

La condición puede ser tan genérica o detallada como

quieras, aunque debe basarse en fenómenos visuales

o audibles que se produzcan a 9 m o menos del objeto.

Por ejemplo, podrías indicar que la boca hable cuando

cualquier criatura se acerque a 9 m o menos del objeto

o cuando una campana de plata suene a 9 m o menos de él.",pendiente,
Bola de Fuego,3,Nivel 3,Evocación,hechicero; mago,Acción,45 m,"V, S, M (una pelota de guano de murciélago",Instantáneo,"y azufre)

Una ráfaga brillante surge de ti hacia un punto de tu

elección dentro del alcance y luego estalla con un rugido

sordo en una explosión ardiente. Todas las criaturas

situadas en una esfera de 6 m de radio centrada en ese

punto harán una tirada de salvación de Destreza; sufrirán

8d6 de daño de fuego si la fallan o la mitad del daño si la

superan.

Los objetos inflamables dentro del área que no lleve

o vista nadie empezarán a arder.         mE

Con un espacio de conjuro de nivel superior. El daño

aumenta en 1d6 por cada nivel por encima de 3 que tenga

el espacio.",pendiente,
Bola de Fuego de Explosión Retardada,7,Nivel 7,Evocación,hechicero; mago,Acción,45 m,"V, S, M (una pelota de guano de murciélago","Concentración, hasta 1 minuto","y azufre)

Un rayo de luz amarilla surge de ti y se condensa en un

punto elegido dentro del alcance en forma de una cuenta

brillante hasta que termine el conjuro. Cuando el conjuro

termina, la cuenta explota y todas las criaturas en una

esfera de 6 m de radio centrada en ese punto hacen una

tirada de salvación de Destreza. Sufrirán una cantidad

de daño de fuego igual al daño total acumulado si fallan

la tirada o la mitad del daño si la superan.

El daño base del conjuro es 12d6 y aumenta en 1d6 siempre

que termine tu turno si el conjuro aún no ha terminado.

Si una criatura toca la cuenta brillante antes de que el

conjuro termine, esa criatura hará una tirada de salvación

de Destreza. Si la falla, el conjuro terminará y la cuenta

explotará. Si la supera, podrá lanzar la cuenta a una

distancia de 12 m o menos. Si la cuenta lanzada entra en

el espacio de una criatura o choca con un objeto sólido,

el conjuro termina y la cuenta explota.

Cuando estalle, todos los objetos inflamables dentro

dentro de la explosión que no lleve o vista nadie

empezarán a arder.

Con un espacio de conjuro de nivel superior. El daño base

aumenta en 1d6 por cada nivel por encima de 7 que tenga

el espacio.",pendiente,
Brazos de Hadar,1,Nivel 1,Conjuración,brujo,Acción,Lanzador,"V, S",Instantáneo,"Invocas a Hadar y unas extremidades surgen de ti. Todas

las criaturas en una emanación de 3 m que se origina en ti

deben hacer una tirada de salvación de Fuerza. Si la fallan,

sufrirán 2d6 de daño necrótico y no podrán llevar a cabo

reacciones hasta el principio de su siguiente turno. Si la

superan, solamente recibirán la mitad de ese daño.

Con un espacio de conjuro de nivel superior. El daño

aumenta en 1d6 por cada nivel por encima de 1 que tenga

el espacio.",ok,
Buenas Bayas,1,Nivel 1,Conjuración,druida; explorador,Acción,Lanzador,"V, S, M (una rama de muérdago)",24 horas,"En tu mano aparecen diez bayas, que están impregnadas de

magia hasta que termine el conjuro. Una criatura puede usar

una acción adicional para comerse una, lo que le permite

recuperar 1 punto de golpe. Además, la baya proporciona

alimento suficiente como para mantener a una criatura

durante 1 día.

Las bayas que no se consuman desaparecen cuando

el conjuro termine.",rechazado,
Burla Dañina,0,Truco,Encantamiento,bardo,Acción,18 m,V,Instantáneo,"Profieres una sarta de improperios mezclados con

encantamientos sutiles hacia una criatura que puedas

ver u oír dentro del alcance. El objetivo deberá super

una tirada de salvación de Sabiduría o recibirá 1d6 de

daño psíquico y tendrá desventaja en la próxima tirada

ataque que realice antes de que acabe su siguiente tur

Mejora de truco. El daño aumenta en 1d6 cuando

alcanzas los niveles 5 (2d6), 11 (3d6) y 17 (4d6).",ok,
Caída de Pluma,1,Nivel 1,Transmutación,bardo; hechicero; mago,"Reacción, que llevas a cabo cua",18 m,"V, M (una pluma pequeña o un poco",1 minuto,"tú una criatura que puedas ver a 18 m o menos de ti

de plumón)

250   CAPÍTULO 7        CONJUROS

LANZARLE INSULTOS MÁGICOS A UN KOBOLO.

¡A

Elige hasta cinco criaturas dentro del alcance que estén

cayendo. La velocidad de descenso de cada objetivo se

reduce a 18 m por asalto hasta que el conjuro termine.

Si una criatura aterriza antes de que el conjuro termine,

no sufrirá daño de la caída y el conjuro terminará para

esa criatura.",rechazado,
Caldero Burbujeante de Tasha,6,Nivel 6,Conjuración,brujo; mago,,"1,5 m",,Instantáneo,"10 minutos ar        Tiempo de lanzamiento: Acción de       Componentes: V, S, M (un cucharón bañado en oro que no.         valga al menos 500 po) Conjuras un caldero con patas de garra y lleno de un líquido burbujeante, que aparecerá en un espacio sin ocupar en el suelo a 1,5 m de ti y permanecerá hasta que termine el conjuro. El caldero no se puede mover y desaparece cuando termine el conjuro junto con el líquido que contiene. ndo         El líquido del caldero copia las propiedades de una caigáis   poción común o infrecuente que elijas (por ejemplo, de una poción de curación). Como acción adicional, un aliado o tú podéis meter la mano en el caldero y extraer una poción de ese tipo. La poción viene en un vial que desaparece tras consumirla. El caldero puede producir una cantidad de pociones de ese tipo igual a tu modificador por aptitud mágica (mínimo 1). Cuando se extrae la última poción del caldero, este desaparece y el conjuro termina. Las pociones obtenidas del caldero que no se consuman desaparecerán cuando vuelvas a lanzar el conjuro.",pendiente,
Calentar Metal,2,Nivel 2,Transmutación,bardo; druida,Acción,18 m,"V, S, M (un trozo de hierro y una llama)","Concentración, hasta 1 minuto","Elige un objeto metálico fabricado que puedas ver dentro

del alcance, como un arma de metal o una armadura

metálica media o pesada. Haces que el objeto se ponga al

rojo vivo. Cualquier criatura que esté en contacto físico

con el objeto recibirá 2d8 de daño de fuego cuando lances

el conjuro. Hasta que el conjuro termine, puedes usar una

acción adicional en cada uno de tus turnos posteriores para

volver a causar este daño si el objeto está dentro del alcan

Si una criatura sostiene o lleva puesto el objeto y recib

el daño de este, deberá superar una tirada de salvación

de Constitución o dejará caer el objeto si puede. Si no lo

deja caer, tendrá desventaja en las tiradas de ataque y las

pruebas de característica hasta el principio de tu siguiente

turno.

Con un espacio de conjuro de nivel superior. El daño

aumenta en 1d8 por cada nivel por encima de 2 que tenga

el espacio.

La

CALDERO BURBUJEANTE DE TASHA, PARA PRODUCIR",pendiente,
Una Poción Mágica Calmar Emociones,2,Nivel 2,Encantamiento,bardo; clérigo,Acción,18 m,"V, S","Concentración, hasta 1 minuto","Cada humanoide en una esfera de 6 m de radio centrada

en un punto que elijas dentro del alcance deberá superar

una tirada de salvación de Carisma o se verá afectado por

uno de los siguientes efectos (elige uno por cada criatura):

+ La criatura tiene inmunidad a los estados de asustada

y hechizada hasta que el conjuro termine. Si la criatura

ya estaba asustada o hechizada, se suprimen esos estados

hasta que el conjuro termine.

+ La criatura se vuelve indiferente hacia las criaturas

de tu elección hacia las que sea hostil. Esta indiferencia

termina si el objetivo recibe daño o si observa cómo

alguno de sus aliados resulta dañado. Cuando el conjuro

ce.     termine, la actitud de la criatura volverá a la normalidad.

e

Dos mAGos ENEMIGOS USAN CAMBIAR DE FORMA PARA

TRANSFORMARSE EN UN CONTEMPLADOR Y UN BEHIR

DURANTE UN COMBATE MÁGICO.",pendiente,
Cambiar de Forma,9,Nivel 9,Transmutación,druida; mago,Acción,Lanzador,"V, S, M (una diadema de jade que valga","Concentración, hasta 1 hora","al menos 1500 po)

Asumes la forma de otra criatura hasta que termine

el conjuro o hasta que uses una acción de magia para

adoptar otra forma para la que cumplas los requisitos.

La nueva forma debe ser la de una criatura con un valo

de desafío igual o menor a tu nivel o valor de desafío

Tienes que haber visto alguna criatura de ese tipo

y no puede ser un autómata ni un muerto viviente.

Cuando lanzas el conjuro, obtienes una cantidad de

puntos de golpe temporales igual a los puntos de golpe

de la primera forma que adoptes. Estos puntos de golpe

temporales se desvanecerán si conservas alguno cuando

el conjuro termine.

Tu perfil se sustituye por el de la forma elegida,

pero conservarás tu tipo de criatura, alineamiento,

personalidad, puntuaciones de Inteligencia, Sabiduría

y Carisma, puntos de golpe, dados de puntos de golpe,

competencias y capacidad para comunicarte. También

conservas el rasgo Lanzamiento de conjuros si lo tiene

Al cambiar de forma, eliges si tu equipo cae al suel

o cambia de tamaño y forma para adaptarse a tu nuevo

aspecto mientras lo adoptes.",pendiente,
